Comment,Val,Package,Mid X,Mid Y,Rotation,Layer
"C22","0.1uF","C_0402_1005Metric",178.234000,-46.256000,90.000000,bottom
"C25","10uF","C_0402_1005Metric",180.204000,-46.256000,90.000000,bottom
"C26","1uF","C_0402_1005Metric",182.174000,-46.256000,90.000000,bottom
"C31","15pF","C_0402_1005Metric",184.144000,-46.256000,90.000000,bottom
"C32","0.1uF","C_0402_1005Metric",186.114000,-46.256000,90.000000,bottom
"C33","12pF","C_0402_1005Metric",188.084000,-46.256000,90.000000,bottom
"C35","0.1uF","C_0402_1005Metric",190.054000,-46.256000,90.000000,bottom
"C37","12pF","C_0402_1005Metric",178.234000,-43.386000,90.000000,bottom
"C39","1uF","C_0402_1005Metric",182.174000,-43.386000,90.000000,bottom
"C40","10nF","C_0402_1005Metric",184.144000,-43.386000,90.000000,bottom
"D4","SS14","D_SMA",156.115000,-39.370000,180.000000,bottom
"DNP1","15pF","C_0402_1005Metric",186.114000,-43.386000,90.000000,bottom
"L3","2nH","L_0402_1005Metric",178.244000,-40.496000,90.000000,bottom
"L5","DNP","L_0402_1005Metric",180.234000,-40.496000,90.000000,bottom
"L6","4.7nH","L_0402_1005Metric",182.224000,-40.496000,90.000000,bottom
"R2","33R","R_0402_1005Metric",186.204000,-40.496000,90.000000,bottom
"R4","10K","R_0402_1005Metric",188.194000,-40.496000,90.000000,bottom
"R12","200K","R_0402_1005Metric",190.184000,-40.496000,90.000000,bottom
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",166.300000,-48.133000,180.000000,bottom
"U4","AMS1117-3.3","SOT-223-3_TabPin2",155.600000,-45.325000,180.000000,bottom
"Y2","40MHz(10ppm)","Crystal_SMD_2520-4Pin_2.5x2.0mm",173.928000,-45.071000,-90.000000,bottom
"","","",161.510000,-43.180000,0.000000,top
"","","",163.576000,-49.276000,0.000000,top
"","","",170.180000,-36.068000,0.000000,top
"","","",161.544000,-41.656000,0.000000,top
"","","",164.300000,-44.196000,0.000000,top
"","","",164.084000,-41.148000,0.000000,top
"","","",165.608000,-44.196000,0.000000,top
"","","",164.084000,-42.672000,0.000000,top
"","","",171.370000,-35.800000,0.000000,top
"","","",161.544000,-44.704000,0.000000,top
"","","",165.100000,-49.276000,0.000000,top
"","","",168.450000,-41.148000,0.000000,top
"C3","10uF","C_0402_1005Metric",179.188000,-45.006000,90.000000,top
"C4","12pF","C_0402_1005Metric",181.158000,-45.006000,90.000000,top
"C6","10uF","C_0402_1005Metric",183.128000,-45.006000,90.000000,top
"C7","10uF","C_0402_1005Metric",185.098000,-45.006000,90.000000,top
"C8","10uF","C_0402_1005Metric",187.068000,-45.006000,90.000000,top
"C10","0.1uF","C_0402_1005Metric",189.038000,-45.006000,90.000000,top
"C11","0.1uF","C_0402_1005Metric",191.008000,-45.006000,90.000000,top
"C13","1uF","C_0402_1005Metric",177.218000,-42.136000,90.000000,top
"C14","DNP","C_0402_1005Metric",179.188000,-42.136000,90.000000,top
"C15","0.1uF","C_0402_1005Metric",181.158000,-42.136000,90.000000,top
"C16","10uF","C_0402_1005Metric",183.128000,-42.136000,90.000000,top
"C17","10uF","C_0402_1005Metric",185.098000,-42.136000,90.000000,top
"C18","0.1uF","C_0402_1005Metric",187.068000,-42.136000,90.000000,top
"C19","0.1uF","C_0402_1005Metric",189.038000,-42.136000,90.000000,top
"C20","10uF","C_0402_1005Metric",191.008000,-42.136000,90.000000,top
"C38","12pF","C_0402_1005Metric",187.988000,-36.450000,0.000000,top
"D2","LED","LED_0603_1608Metric",176.276000,-48.260000,0.000000,top
"D3","LED","LED_0603_1608Metric",176.504500,-38.608000,0.000000,top
"J4","Conn_01x04_Pin","USB_A_PCB_Edge_receptacle",207.210000,-43.100000,180.000000,top
"Q1","AO3401A","SOT-23",193.626500,-39.624000,0.000000,top
"R16","470R","R_0402_1005Metric",172.720000,-48.260000,180.000000,top
"R18","33R","R_0402_1005Metric",156.092000,-40.216000,0.000000,top
"R19","200K","R_0402_1005Metric",156.092000,-42.206000,0.000000,top
"R20","100K","R_0402_1005Metric",155.446000,-44.196000,0.000000,top
"R21","10K","R_0402_1005Metric",173.738000,-39.624000,0.000000,top
"R22","10K","R_0402_1005Metric",173.738000,-41.614000,0.000000,top
"R23","0R","R_0402_1005Metric",169.672000,-48.260000,180.000000,top
"R24","470R","R_0402_1005Metric",161.036000,-47.752000,0.000000,top
"R25","470R","R_0402_1005Metric",173.738000,-38.608000,180.000000,top
"R26","0R","R_0402_1005Metric",160.850000,-42.672000,180.000000,top
"R27","0R","R_0402_1005Metric",160.780000,-41.656000,180.000000,top
"R28","0R","R_0402_1005Metric",161.034000,-40.640000,180.000000,top
"R29","0R","R_0402_1005Metric",161.034000,-39.370000,180.000000,top
"R30","0R","R_0402_1005Metric",160.780000,-38.100000,180.000000,top
"R31","DNP","R_0402_1005Metric",161.290000,-45.720000,180.000000,top
"U1","ESP32-S3","QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm",166.730000,-42.040000,180.000000,top
"Y1","32.768 kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",180.340000,-38.608000,180.000000,top
